"BehaviorSpace results (NetLogo 5.2.1)"
"trust01_v9b.nlogo"
"experiment30total"
"11/05/2015 12:41:00:031 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","31"
"[run number]","_log","discovery_type","_exportMovie","proportionSkeptic","_network_type","_nodes","confirmationSkeptic","[step]","count turtles","sum [costs] of turtles","count turtles with [ p? ]","count turtles with [ _p? ]","[ranking] of turtle discoverP","[ranking] of turtle discoverNotP"
"3","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"5","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"2","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"6","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"4","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"9","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"7","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"8","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"10","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"11","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"13","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"12","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"15","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"16","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"17","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"18","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"14","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"20","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"19","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"21","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"22","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"23","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"26","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"25","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"24","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"29","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"30","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","33","30","30","0","0"
"27","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","25","30","30","0","0"
"28","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","27","30","30","0","0"
"1","true","""lazyP-skepticNotP""","false","50","""total""","30","95","5","30","17","30","30","0","0"
